#SampleID	BarcodeSequence	LinkerPrimerSequence	Description
56D10			p4_E10_AKC_2017_VB15-05027_testedNeg_30+15
112D11			p4_E11_AKC_2017_VB15-05034_testedNeg_30+15
647D12			p4_E12_AKC_2017_VB15-05035_testedNeg_30+15
744D1			p4_F01_AKC_2017_VB15-00456_testedNeg_30+15
66D2			p4_F02_AKC_2017_VB15-00619_testedNeg_30+15
690D3			p4_F03_AKC_2017_VB15-00805_testedNeg_30+15
680D4			p4_F04_AKC_2017_VB15-00863_testedNeg_30+15
86D5			p4_F05_AKC_2017_VB15-01026_testedNeg_30+15
6D6			p4_F06_AKC_2017_VB15-01038_testedNeg_30+15
811D7			p4_F07_AKC_2017_VB15-01151_testedNeg_30+15
370D8			p4_F08_AKC_2017_VB15-01236_testedNeg_30+15
592D9			p4_F09_AKC_2017_VB15-01556_testedNeg_30+15
472D10			p4_F10_AKC_2017_VB15-01642_testedNeg_30+15
220D11			p4_F11_AKC_2017_VB15-01733_testedNeg_30+15
567D12			p4_F12_AKC_2017_VB15-01850_testedNeg_30+15
792D1			p4_G01_AKC_2017_VB15-02000_testedNeg_30+15
399D2			p4_G02_AKC_2017_VB15-02022_testedNeg_30+15
318D3			p4_G03_AKC_2017_VB15-02295_testedNeg_30+15
246D4			p4_G04_AKC_2017_VB15-02349_testedNeg_30+15
706D5			p4_G05_AKC_2017_VB15-02370_testedNeg_30+15
225D6			p4_G06_AKC_2017_VB15-02653_testedNeg_30+15
13D7			p4_G07_AKC_2017_VB15-02732_testedNeg_30+15
454D8			p4_G08_AKC_2017_VB15-00541_testedNeg_30+15
873D9			p4_G09_AKC_2017_VB15-00553_testedNeg_30+15
35D10			p4_G10_AKC_2017_VB15-00934_testedNeg_30+15
519D11			p4_G11_AKC_2017_VB15-01458_testedNeg_30+15
190D12			p4_G12_AKC_2017_VB15-01463_testedNeg_30+15
281D1			p4_H01_AKC_2017_excluded_testedNeg_30+15
489D2			p4_H02_AKC_2017_excluded_testedNeg_30+15
637D3			p4_H03_AKC_2017_VB15-01863_testedNeg_30+15
616D4			p4_H04_AKC_2017_VB15-01869_testedNeg_30+15
353D5			p4_H05_AKC_2017_VB15-01975_testedNeg_30+15
287D6			p4_H06_AKC_2017_VB15-01998_testedNeg_30+15
25D7			p4_H07_NTC_neg_30+15
458D8			p4_H08_H2O_neg_30+15
424D9			p4_H09_Dog_DNA_neg_30+15
859D10			p4_H10_excluded_pos_30+15
100D11			p4_H11_excluded_pos_30+15
442D12			p4_H12_excluded_pos_30+15
90E1			p5_A01_AKC_2017_excluded_testedNeg_30+15
722E2			p5_A02_AKC_2017_excluded_testedNeg_30+15
544E3			p5_A03_AKC_2017_excluded_testedNeg_30+15
719E4			p5_A04_AKC_2017_excluded_testedNeg_30+15
560E5			p5_A05_AKC_2017_excluded_testedNeg_30+15
128E6			p5_A06_AKC_2017_excluded_testedNeg_30+15
161E7			p5_A07_AKC_2017_excluded_testedNeg_30+15
490E8			p5_A08_AKC_2017_excluded_testedNeg_30+15
825E9			p5_A09_AKC_2017_excluded_testedNeg_30+15
374E10			p5_A10_AKC_2017_excluded_testedNeg_30+15
372E11			p5_A11_AKC_2017_excluded_testedNeg_30+15
730E12			p5_A12_AKC_2017_excluded_testedNeg_30+15
